ARKHE ENGINE — AUDITORIA DE PARIDADE / COBERTURA
=================================================
Arquivo: ARKHE_GAPS_5000.txt
Data: 2026-09-05
Objetivo: listar 5.000 pontos granulares para verificar o que ainda falta,
é parcial, ou precisa ser aprofundado no Arkhe em comparação com workflows
e capacidades de Roblox Studio, Unity 6 e a direção pública da Unreal Engine 6.

IMPORTANTE SOBRE O STATUS
-------------------------
Esta lista NÃO afirma que os 5.000 itens estão comprovadamente ausentes.
Ela é uma lista de GAP CANDIDATES / requisitos de auditoria: cada linha é uma
capacidade que precisa ser verificada no código real do Arkhe. O arquivo
ARKHE_TUDO_10K.txt declara 10.000 sistemas físicos e 10 milhões de sistemas
lógicos, mas a declaração textual, por si só, não comprova a implementação
profunda de cada capacidade.

O ARKHE_TUDO_10K.txt também declara um RBXL de 6,97 MB com 5.014 arquivos,
famílias como Terrain, Modeler, Animator, NPC, Physica, Visual, Audio,
Multiplayer, Optimize, Analytics, Economy, UI etc., além de DO15 e RRW.
Portanto, quando uma família já aparece no TXT, o status abaixo diz apenas
que existe uma família relacionada; não considera a capacidade específica
como comprovada.

FONTES / BASE DE COMPARAÇÃO
---------------------------
1. Roblox Studio — documentação oficial:
   Build, script, test, publish; editor de script; emulação de dispositivos;
   Data Model; serviços; Assistant; colaboração em tempo real; marketplace;
   rig/cage de avatares.
2. Roblox Terrain Editor — geração, importação de heightmap/colormap,
   biomas, cavernas e edição procedural/voxel.
3. Unity 6 — documentação oficial:
   renderização, iluminação, multiplayer, IA contextual, mobile/web,
   build profiles e workflows de produção.
4. Unreal Engine 6 — roadmap oficial de 2026:
   UE6 ainda está em desenvolvimento; Early Access é previsto para o fim
   de 2027. A direção pública inclui Verse, Scene Graph, interoperabilidade
   por padrões abertos e pipeline assistido por MCP/IA. Não tratar UE6 como
   produto final já lançado.
5. Unreal Engine 5.x atual — referência para capacidades já demonstradas,
   incluindo PCG + World Partition e outros workflows de produção.

CLASSIFICAÇÃO
-------------
[VERIFICAR] = precisa ser comprovado no código/editor.
[PARCIAL]   = há família relacionada, mas não há prova suficiente da
              implementação específica.
[ABSENTE NÃO COMPROVADO] = não aparece de forma específica no TXT; isso não
              significa que não exista em código não mostrado.
[PARIDADE]  = capacidade conhecida de referência que merece implementação
              ou equivalente nativo no Arkhe.

PRINCÍPIO ARKHE
---------------
Não copiar Unreal/Unity/Roblox literalmente. A implementação deve ser nativa
ao Arkhe e, quando fizer sentido, integrada a UTS/UES, Tese dos D, D-O15,
DFrame e Q-System. Tecnologias externas podem servir como referência ou
adapter, mas não devem virar a arquitetura central.

TOTAL DE ITENS NESTE ARQUIVO: 5000
=================================================

00001 | [ABSENTE NÃO COMPROVADO] | Editor de cena | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00146 | [ABSENTE NÃO COMPROVADO] | Shader Graph | Validação: erros, avisos, constraints e diagnóstico verificáveis | Não evidenciado de forma específica no TXT.
00147 | [ABSENTE NÃO COMPROVADO] | Shader Graph | Performance: métricas, orçamento e profiling específicos | Não evidenciado de forma específica no TXT.
00148 | [ABSENTE NÃO COMPROVADO] | Shader Graph | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Não evidenciado de forma específica no TXT.
00149 | [ABSENTE NÃO COMPROVADO] | Shader Graph | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Não evidenciado de forma específica no TXT.
00150 | [ABSENTE NÃO COMPROVADO] | Shader Graph | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00151 | [ABSENTE NÃO COMPROVADO] | Compilação de shaders | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00152 | [ABSENTE NÃO COMPROVADO] | Compilação de shaders | API/runtime: disponibilidade equivalente durante a execução | Não evidenciado de forma específica no TXT.
00153 | [ABSENTE NÃO COMPROVADO] | Compilação de shaders | UI/UX: painel, ferramenta ou fluxo visual dedicado | Não evidenciado de forma específica no TXT.
00154 | [ABSENTE NÃO COMPROVADO] | Compilação de shaders | Persistência: salvar, reabrir e migrar o estado sem perda | Não evidenciado de forma específica no TXT.
00155 | [ABSENTE NÃO COMPROVADO] | Compilação de shaders | Automação: execução por script, CLI ou API | Não evidenciado de forma específica no TXT.
00156 | [ABSENTE NÃO COMPROVADO] | Compilação de shaders | Validação: erros, avisos, constraints e diagnóstico verificáveis | Não evidenciado de forma específica no TXT.
00157 | [ABSENTE NÃO COMPROVADO] | Compilação de shaders | Performance: métricas, orçamento e profiling específicos | Não evidenciado de forma específica no TXT.
00158 | [ABSENTE NÃO COMPROVADO] | Compilação de shaders | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Não evidenciado de forma específica no TXT.
00159 | [ABSENTE NÃO COMPROVADO] | Compilação de shaders | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Não evidenciado de forma específica no TXT.
00160 | [ABSENTE NÃO COMPROVADO] | Compilação de shaders | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00161 | [PARCIAL] | Texturas | Editor workflow: criação e configuração pelo editor sem depender de código manual | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00162 | [PARCIAL] | Texturas | API/runtime: disponibilidade equivalente durante a execução | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00163 | [PARCIAL] | Texturas | UI/UX: painel, ferramenta ou fluxo visual dedicado | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00164 | [PARCIAL] | Texturas | Persistência: salvar, reabrir e migrar o estado sem perda | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00165 | [PARCIAL] | Texturas | Automação: execução por script, CLI ou API | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00166 | [PARCIAL] | Texturas | Validação: erros, avisos, constraints e diagnóstico verificáveis | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00167 | [PARCIAL] | Texturas | Performance: métricas, orçamento e profiling específicos | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00168 | [PARCIAL] | Texturas | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00169 | [PARCIAL] | Texturas | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00170 | [PARCIAL] | Texturas | Testes: teste automatizado, regressão e caso-limite verificável | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00171 | [ABSENTE NÃO COMPROVADO] | Decalques | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00172 | [ABSENTE NÃO COMPROVADO] | Decalques | API/runtime: disponibilidade equivalente durante a execução | Não evidenciado de forma específica no TXT.
00173 | [ABSENTE NÃO COMPROVADO] | Decalques | UI/UX: painel, ferramenta ou fluxo visual dedicado | Não evidenciado de forma específica no TXT.
00174 | [ABSENTE NÃO COMPROVADO] | Decalques | Persistência: salvar, reabrir e migrar o estado sem perda | Não evidenciado de forma específica no TXT.
00175 | [ABSENTE NÃO COMPROVADO] | Decalques | Automação: execução por script, CLI ou API | Não evidenciado de forma específica no TXT.
00176 | [ABSENTE NÃO COMPROVADO] | Decalques | Validação: erros, avisos, constraints e diagnóstico verificáveis | Não evidenciado de forma específica no TXT.
00177 | [ABSENTE NÃO COMPROVADO] | Decalques | Performance: métricas, orçamento e profiling específicos | Não evidenciado de forma específica no TXT.
00178 | [ABSENTE NÃO COMPROVADO] | Decalques | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Não evidenciado de forma específica no TXT.
00179 | [ABSENTE NÃO COMPROVADO] | Decalques | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Não evidenciado de forma específica no TXT.
00180 | [ABSENTE NÃO COMPROVADO] | Decalques | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00181 | [PARCIAL] | Iluminação | Editor workflow: criação e configuração pelo editor sem depender de código manual | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00182 | [PARCIAL] | Iluminação | API/runtime: disponibilidade equivalente durante a execução | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00183 | [PARCIAL] | Iluminação | UI/UX: painel, ferramenta ou fluxo visual dedicado | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00184 | [PARCIAL] | Iluminação | Persistência: salvar, reabrir e migrar o estado sem perda | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00185 | [PARCIAL] | Iluminação | Automação: execução por script, CLI ou API | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00186 | [PARCIAL] | Iluminação | Validação: erros, avisos, constraints e diagnóstico verificáveis | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00187 | [PARCIAL] | Iluminação | Performance: métricas, orçamento e profiling específicos | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00188 | [PARCIAL] | Iluminação | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00189 | [PARCIAL] | Iluminação | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00190 | [PARCIAL] | Iluminação | Testes: teste automatizado, regressão e caso-limite verificável | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00191 | [PARCIAL] | Sombras | Editor workflow: criação e configuração pelo editor sem depender de código manual | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00192 | [PARCIAL] | Sombras | API/runtime: disponibilidade equivalente durante a execução | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00193 | [PARCIAL] | Sombras | UI/UX: painel, ferramenta ou fluxo visual dedicado | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00194 | [PARCIAL] | Sombras | Persistência: salvar, reabrir e migrar o estado sem perda | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00195 | [PARCIAL] | Sombras | Automação: execução por script, CLI ou API | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00196 | [PARCIAL] | Sombras | Validação: erros, avisos, constraints e diagnóstico verificáveis | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00197 | [PARCIAL] | Sombras | Performance: métricas, orçamento e profiling específicos | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00198 | [PARCIAL] | Sombras | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00199 | [PARCIAL] | Sombras | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00200 | [PARCIAL] | Sombras | Testes: teste automatizado, regressão e caso-limite verificável | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00201 | [ABSENTE NÃO COMPROVADO] | GI | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00202 | [ABSENTE NÃO COMPROVADO] | GI | API/runtime: disponibilidade equivalente durante a execução | Não evidenciado de forma específica no TXT.
00203 | [ABSENTE NÃO COMPROVADO] | GI | UI/UX: painel, ferramenta ou fluxo visual dedicado | Não evidenciado de forma específica no TXT.
00204 | [ABSENTE NÃO COMPROVADO] | GI | Persistência: salvar, reabrir e migrar o estado sem perda | Não evidenciado de forma específica no TXT.
00205 | [ABSENTE NÃO COMPROVADO] | GI | Automação: execução por script, CLI ou API | Não evidenciado de forma específica no TXT.
00206 | [ABSENTE NÃO COMPROVADO] | GI | Validação: erros, avisos, constraints e diagnóstico verificáveis | Não evidenciado de forma específica no TXT.
00207 | [ABSENTE NÃO COMPROVADO] | GI | Performance: métricas, orçamento e profiling específicos | Não evidenciado de forma específica no TXT.
00208 | [ABSENTE NÃO COMPROVADO] | GI | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Não evidenciado de forma específica no TXT.
00209 | [ABSENTE NÃO COMPROVADO] | GI | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Não evidenciado de forma específica no TXT.
00210 | [ABSENTE NÃO COMPROVADO] | GI | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00211 | [ABSENTE NÃO COMPROVADO] | Reflexos | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00212 | [ABSENTE NÃO COMPROVADO] | Reflexos | API/runtime: disponibilidade equivalente durante a execução | Não evidenciado de forma específica no TXT.
00213 | [ABSENTE NÃO COMPROVADO] | Reflexos | UI/UX: painel, ferramenta ou fluxo visual dedicado | Não evidenciado de forma específica no TXT.
00214 | [ABSENTE NÃO COMPROVADO] | Reflexos | Persistência: salvar, reabrir e migrar o estado sem perda | Não evidenciado de forma específica no TXT.
00215 | [ABSENTE NÃO COMPROVADO] | Reflexos | Automação: execução por script, CLI ou API | Não evidenciado de forma específica no TXT.
00216 | [ABSENTE NÃO COMPROVADO] | Reflexos | Validação: erros, avisos, constraints e diagnóstico verificáveis | Não evidenciado de forma específica no TXT.
00217 | [ABSENTE NÃO COMPROVADO] | Reflexos | Performance: métricas, orçamento e profiling específicos | Não evidenciado de forma específica no TXT.
00218 | [ABSENTE NÃO COMPROVADO] | Reflexos | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Não evidenciado de forma específica no TXT.
00219 | [ABSENTE NÃO COMPROVADO] | Reflexos | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Não evidenciado de forma específica no TXT.
00220 | [ABSENTE NÃO COMPROVADO] | Reflexos | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00221 | [ABSENTE NÃO COMPROVADO] | Renderização | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00222 | [ABSENTE NÃO COMPROVADO] | Renderização | API/runtime: disponibilidade equivalente durante a execução | Não evidenciado de forma específica no TXT.
00223 | [ABSENTE NÃO COMPROVADO] | Renderização | UI/UX: painel, ferramenta ou fluxo visual dedicado | Não evidenciado de forma específica no TXT.
00224 | [ABSENTE NÃO COMPROVADO] | Renderização | Persistência: salvar, reabrir e migrar o estado sem perda | Não evidenciado de forma específica no TXT.
00225 | [ABSENTE NÃO COMPROVADO] | Renderização | Automação: execução por script, CLI ou API | Não evidenciado de forma específica no TXT.
00226 | [ABSENTE NÃO COMPROVADO] | Renderização | Validação: erros, avisos, constraints e diagnóstico verificáveis | Não evidenciado de forma específica no TXT.
00227 | [ABSENTE NÃO COMPROVADO] | Renderização | Performance: métricas, orçamento e profiling específicos | Não evidenciado de forma específica no TXT.
00228 | [ABSENTE NÃO COMPROVADO] | Renderização | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Não evidenciado de forma específica no TXT.
00229 | [ABSENTE NÃO COMPROVADO] | Renderização | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Não evidenciado de forma específica no TXT.
00230 | [ABSENTE NÃO COMPROVADO] | Renderização | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00231 | [ABSENTE NÃO COMPROVADO] | Render Graph | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00232 | [ABSENTE NÃO COMPROVADO] | Render Graph | API/runtime: disponibilidade equivalente durante a execução | Não evidenciado de forma específica no TXT.
00233 | [ABSENTE NÃO COMPROVADO] | Render Graph | UI/UX: painel, ferramenta ou fluxo visual dedicado | Não evidenciado de forma específica no TXT.
00234 | [ABSENTE NÃO COMPROVADO] | Render Graph | Persistência: salvar, reabrir e migrar o estado sem perda | Não evidenciado de forma específica no TXT.
00235 | [ABSENTE NÃO COMPROVADO] | Render Graph | Automação: execução por script, CLI ou API | Não evidenciado de forma específica no TXT.
00236 | [ABSENTE NÃO COMPROVADO] | Render Graph | Validação: erros, avisos, constraints e diagnóstico verificáveis | Não evidenciado de forma específica no TXT.
00237 | [ABSENTE NÃO COMPROVADO] | Render Graph | Performance: métricas, orçamento e profiling específicos | Não evidenciado de forma específica no TXT.
00238 | [ABSENTE NÃO COMPROVADO] | Render Graph | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Não evidenciado de forma específica no TXT.
00239 | [ABSENTE NÃO COMPROVADO] | Render Graph | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Não evidenciado de forma específica no TXT.
00240 | [ABSENTE NÃO COMPROVADO] | Render Graph | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00241 | [ABSENTE NÃO COMPROVADO] | GPU-driven rendering | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00242 | [ABSENTE NÃO COMPROVADO] | GPU-driven rendering | API/runtime: disponibilidade equivalente durante a execução | Não evidenciado de forma específica no TXT.
00243 | [ABSENTE NÃO COMPROVADO] | GPU-driven rendering | UI/UX: painel, ferramenta ou fluxo visual dedicado | Não evidenciado de forma específica no TXT.
00244 | [ABSENTE NÃO COMPROVADO] | GPU-driven rendering | Persistência: salvar, reabrir e migrar o estado sem perda | Não evidenciado de forma específica no TXT.
00245 | [ABSENTE NÃO COMPROVADO] | GPU-driven rendering | Automação: execução por script, CLI ou API | Não evidenciado de forma específica no TXT.
00246 | [ABSENTE NÃO COMPROVADO] | GPU-driven rendering | Validação: erros, avisos, constraints e diagnóstico verificáveis | Não evidenciado de forma específica no TXT.
00247 | [ABSENTE NÃO COMPROVADO] | GPU-driven rendering | Performance: métricas, orçamento e profiling específicos | Não evidenciado de forma específica no TXT.
00248 | [ABSENTE NÃO COMPROVADO] | GPU-driven rendering | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Não evidenciado de forma específica no TXT.
00249 | [ABSENTE NÃO COMPROVADO] | GPU-driven rendering | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Não evidenciado de forma específica no TXT.
00250 | [ABSENTE NÃO COMPROVADO] | GPU-driven rendering | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00251 | [PARCIAL] | Culling | Editor workflow: criação e configuração pelo editor sem depender de código manual | Família relacionada declarada no TXT: Optimize; capacidade específica não comprovada apenas pelo nome.
00252 | [PARCIAL] | Culling | API/runtime: disponibilidade equivalente durante a execução | Família relacionada declarada no TXT: Optimize; capacidade específica não comprovada apenas pelo nome.
